"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-03-01T05:00:00.000Z","13,962","13,962","13,962","13,962","-0.1359","-0.6401",""
"2022-04-01T04:00:00.000Z","13,065","13,065","13,065","13,065","-6.42","-6.93",""
"2022-05-02T04:00:00.000Z","13,313","13,313","13,313","13,313","1.90","1.39",""
"2022-06-01T04:00:00.000Z","12,121","12,121","12,121","12,121","-8.95","-9.46",""
"2022-07-01T04:00:00.000Z","12,743","12,743","12,743","12,743","5.13","4.63",""
"2022-08-01T04:00:00.000Z","11,999","11,999","11,999","11,999","-5.84","-6.34",""
"2022-09-01T04:00:00.000Z","10,873","10,873","10,873","10,873","-9.38","-9.89",""
"2022-10-03T04:00:00.000Z","11,512","11,512","11,512","11,512","5.88","5.37",""
"2022-11-01T04:00:00.000Z","13,086","13,086","13,086","13,086","13.67","13.17",""
"2022-12-01T05:00:00.000Z","12,838","12,838","12,838","12,838","-1.90","-2.40",""
"2023-01-03T05:00:00.000Z","13,940","13,940","13,940","13,940","8.58","8.08",""
"2023-02-01T05:00:00.000Z","13,511","13,511","13,511","13,511","-3.08","-3.58",""
"2023-03-01T05:00:00.000Z","13,940","13,940","13,940","13,940","3.18","2.67",""
"2023-04-03T04:00:00.000Z","14,320","14,320","14,320","14,320","2.73","2.22",""
"2023-05-01T04:00:00.000Z","13,755","13,755","13,755","13,755","-3.95","-4.45",""
"2023-06-01T04:00:00.000Z","14,369","14,369","14,369","14,369","4.46","3.96",""
"2023-07-03T04:00:00.000Z","14,764","14,764","14,764","14,764","2.75","2.24",""
"2023-08-01T04:00:00.000Z","14,178","14,178","14,178","14,178","-3.97","-4.47",""
"2023-09-01T04:00:00.000Z","13,680","13,680","13,680","13,680","-3.51","-4.02",""
"2023-10-02T04:00:00.000Z","13,250","13,250","13,250","13,250","-3.14","-3.65",""
"2023-11-01T04:00:00.000Z","14,383","14,383","14,383","14,383","8.55","8.05",""
"2023-12-01T05:00:00.000Z","15,151","15,151","15,151","15,151","5.34","4.84",""
"2024-01-01T05:00:00.000Z","15,080","15,080","15,080","15,080","-0.4686","-0.9728",""
"2024-02-01T05:00:00.000Z","15,512","15,512","15,512","15,512","2.86","2.36",""
"2024-03-01T05:00:00.000Z","16,025","16,025","16,025","16,025","3.31","2.80",""
"2024-04-01T04:00:00.000Z","15,512","15,512","15,512","15,512","-3.20","-3.71",""
"2024-05-01T04:00:00.000Z","16,316","16,316","16,316","16,316","5.18","4.68",""
"2024-06-03T04:00:00.000Z","15,964","15,964","15,964","15,964","-2.16","-2.66",""
"2024-07-01T04:00:00.000Z","16,428","16,428","16,428","16,428","2.91","2.40",""
"2024-08-01T04:00:00.000Z","16,992","16,992","16,992","16,992","3.43","2.93",""
"2024-09-02T04:00:00.000Z","17,112","17,112","17,112","17,112","0.7062","0.2020",""
"2024-10-01T04:00:00.000Z","16,166","16,166","16,166","16,166","-5.53","-6.03",""
